iter,0
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,1
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
NITERACOES,20
iter,0
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,1
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,2
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,3
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,4
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,5
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,6
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,7
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,8
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,9
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,10
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,11
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,12
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,13
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,14
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,15
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,16
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,17
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,18
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
iter,19
Sol,Re
3.0,0.0
0.0,3.0
Corretude,100.0
