1,148,186,197,197,198,220,248,248,296,8
2,148,186,197,198,198,216,248,248,294,8
3,148,186,197,197,198,217,248,248,294,8
4,147,186,197,198,220,247,248,248,294,8
5,148,186,197,198,198,217,247,248,294,8
6,147,186,197,198,220,247,248,248,293,8
7,148,186,197,198,198,218,247,248,295,8
8,148,187,197,198,198,221,249,249,294,8
9,147,187,198,198,221,221,249,249,294,8
1,157,186,187,213,236,248,249,250,315,12
2,157,186,187,195,235,248,249,249,314,12
3,158,187,188,193,237,248,249,250,317,12
4,158,186,187,195,237,248,248,249,316,12
5,158,187,187,194,237,248,249,250,316,12
6,158,187,187,197,237,248,249,249,316,12
7,158,187,188,192,237,248,249,250,316,12
8,158,186,187,194,237,248,249,250,316,12
9,158,186,188,191,237,248,248,249,316,12
